id,value,option_type,position,active,color_code
1,5,size,1,true,
2,6,size,2,true,
3,7,size,3,true,
4,8,size,4,true,
5,9,size,5,true,
6,10,size,6,true,
7,11,size,7,true,
8,12,size,8,true,
9,13,size,9,true,
10,14,size,10,true,
11,15,size,11,true,
12,16,size,12,true,
13,17,size,13,true,
14,18,size,14,true,
15,19,size,15,true,
16,20,size,16,true,
17,21,size,17,true,
18,22,size,18,true,
19,23,size,19,true,
20,24,size,20,true,
21,25,size,21,true,
22,26,size,22,true,
23,27,size,23,true,
24,28,size,24,true,
25,29,size,25,true,
26,30,size,26,true,
27,31,size,27,true,
28,32,size,28,true,
29,33,size,29,true,
30,34,size,30,true,
31,35,size,31,true,
32,Hồng,color,1,true,#FF69B4
33,Nâu,color,2,true,#A52A2A
34,Trắng,color,3,true,#FFFFFF
35,Tím,color,4,true,#800080
36,Vàng,color,5,true,#FFD700
37,Xanh,color,6,true,#0000FF
38,Xám,color,7,true,#808080
39,Đen,color,8,true,#000000
40,Đỏ,color,9,true,#FF0000
41,Vàng 14K,material,1,true,
42,Vàng 18K,material,2,true,
43,Vàng 24K,material,3,true,
44,Bạc 925,material,4,true,
45,Bạch Kim,material,5,true,
46,Đồng,material,6,true,
47,Titanium,material,7,true,
48,Thép không gỉ,material,8,true,
